,current_price,std_dev,average,upper,lower,BUSD,BTC,total_balance,action
2021-10-31 10:00:00,60811.11,371.9603,61249.57,61993.49090576172,60505.64971923828,1000017.0284999999,10.0,1608128.1284999999,NoTrade
2021-10-31 11:00:00,60494.04,390.057,61108.223,61888.336669921875,60328.108642578125,1000017.0284999999,10.0,1604957.4285,NoTrade
2021-10-31 12:00:00,60313.55,393.19675,60950.848,61737.241149902344,60164.454162597656,1000017.0284999999,10.0,1603152.5285,NoTrade
2021-10-31 13:00:00,60395.98,388.59375,60836.723,61613.91015625,60059.53515625,1000017.0284999999,10.0,1603976.8284999998,NoTrade
2021-10-31 14:00:00,60472.02,365.3392,60744.723,61475.40106201172,60014.04425048828,1000017.0284999999,10.0,1604737.2284999997,NoTrade
2021-10-31 15:00:00,60505.08,307.47787,60653.92,61268.87762451172,60038.96612548828,1000017.0284999999,10.0,1605067.8284999998,NoTrade
2021-10-31 16:00:00,60709.0,172.87604,60578.832,60924.58410644531,60233.07995605469,1000017.0284999999,10.0,1607107.0285,NoTrade
2021-10-31 17:00:00,60660.47,154.43654,60561.11,60869.98245239258,60252.23629760742,1000017.0284999999,10.0,1606621.7284999997,NoTrade
2021-10-31 18:00:00,60734.86,159.27766,60566.234,60884.78970336914,60247.67904663086,1000017.0284999999,10.0,1607365.6284999999,NoTrade
2021-10-31 19:00:00,60723.9,146.20131,60556.543,60848.9455871582,60264.1403503418,1000017.0284999999,10.0,1607256.0285,NoTrade
2021-10-31 20:00:00,60960.06,190.65974,60608.32,60989.63980102539,60227.00082397461,1000017.0284999999,10.0,1609617.6284999999,NoTrade
2021-10-31 21:00:00,61487.7,309.19064,60738.785,61357.166442871094,60120.403869628906,1000631.9054999999,9.99,1614894.0285,OopenSELL
2021-10-31 22:00:00,61407.41,345.81134,60851.168,61542.79064941406,60159.54528808594,1000631.9054999999,9.99,1614091.9314,NoTrade
2021-10-31 23:00:00,61340.58,347.726,60947.67,61643.12390136719,60252.21984863281,1000631.9054999999,9.99,1613424.2996999999,NoTrade
2021-11-01 00:00:00,61599.99,362.80447,61069.33,61794.937072753906,60343.719177246094,1000631.9054999999,9.99,1616015.8055999998,NoTrade
2021-11-01 01:00:00,61323.45,345.9984,61137.598,61829.594482421875,60445.600830078125,1000631.9054999999,9.99,1613253.1709999999,NoTrade
2021-11-01 02:00:00,60584.86,358.18478,61129.203,61845.572692871094,60412.833557128906,1000631.9054999999,9.99,1605874.6568999998,NoTrade
2021-11-01 03:00:00,59957.05,506.17035,61042.777,62055.11804199219,60030.43664550781,1000631.9054999999,9.99,1599602.835,NoTrade
